candidato,puntuacion
1,6.7083
2,8.5
3,5.2917
4,8.5
5,4.7084
6,3.1
7,6.75
8,2.25
9,4.125
10,6.55
11,3.1
12,7.8333
13,2.6
14,8.0
15,4.0
16,5.0
17,1.85
18,3.5
19,10.0
20,0.0
21,0.85
22,5.75
23,7.25
24,2.65
25,2.0
26,4.6667
27,6.5
28,9.0
29,8.7084
30,1.75
31,7.5
32,5.0
33,6.5
34,3.0
35,3.15
36,1.0
37,0.25
38,4.6833
39,8.0
40,8.3333
41,8.5
42,3.0
43,1.75
44,5.0
45,8.0
46,4.85
47,6.0833
48,2.05
49,8.0
50,2.1
51,7.9167
52,1.75
53,9.0
54,9.0
55,7.0
56,8.5
57,10.0
58,4.8333
59,2.9
60,7.9583
61,8.2917
62,0.0
63,3.5
64,8.8333
65,6.5
66,4.4167
67,3.5
68,4.2583
69,1.0
70,7.5
71,3.3
72,1.75
73,9.0
74,9.5
75,7.5208
76,3.4167
77,10.0
78,3.7
79,4.125
80,6.1667
81,8.0
82,3.0
83,7.9
84,3.75
85,2.5
86,3.0
87,4.75
88,6.0417
89,6.0
90,6.9833
91,5.7084
92,8.8333
93,4.5
94,9.0
95,6.2584
96,8.25
97,6.25
98,7.25
99,6.5
100,3.3333
101,8.0
102,6.0833
103,3.05
104,6.2917
105,3.25
106,6.5
107,4.0
108,6.5
109,5.1667
110,4.5
111,10.0
112,5.5
113,5.5
114,8.5
115,7.4167
116,0.0
117,7.0
118,3.0
119,9.0
120,4.8333
121,5.6667
122,0.25
123,7.5333
124,4.4167
125,7.6667
126,8.9166
127,8.5
128,9.25
129,7.3833
130,4.4167
131,8.5
132,5.6667
133,3.0583
134,1.25
135,1.8125
136,4.1667
137,7.75
138,4.9583
139,2.2
140,7.3333
141,2.2
142,4.5
143,4.0
144,6.1
145,6.7083
146,1.5
147,3.05
148,4.2
149,7.0417
150,4.5333
151,2.0
152,0.3
153,3.95
154,4.6667
155,2.25
156,3.5
157,2.0
158,1.4
159,1.25
160,10.0
161,4.2917
162,2.0
163,1.25
164,5.0
165,2.95
166,3.25
167,8.5
168,8.0
169,3.95
170,5.6458
171,2.0
172,6.0
173,2.95
174,4.75
175,9.5
176,6.4167
177,8.0
178,8.85
179,0.25
180,9.5
181,2.5
182,6.35
183,3.0
184,1.0
185,6.5
186,2.0
187,6.2
188,6.25
189,1.25
190,4.0833
191,9.2
192,4.0
193,6.75
194,3.2917
195,7.5
196,1.5
197,3.0
198,3.0
199,5.5
200,7.6667
201,6.25
202,6.875
203,3.75
204,0.55
205,2.1167
206,6.3333
207,7.0
208,3.0833
209,2.95
210,4.0
211,8.0
212,9.5
213,7.3959
214,7.5
215,9.0
216,5.5
217,8.25
218,2.0
219,2.0
220,1.0
221,2.75
222,9.0
223,7.0
224,4.6
225,3.0
226,9.25
227,2.0
228,1.0
229,6.0
230,8.0
231,4.0
232,4.0
233,8.0
234,5.5
235,3.375
236,9.5
237,4.0833
238,7.3333
239,3.0
240,4.1667
241,8.17
242,2.0
243,10.0
244,0.0
245,0.0
246,6.7083
247,6.5
248,1.55
249,1.0
250,0.0
251,6.5
252,4.25
253,5.25
254,6.45
255,4.4166
256,3.0
257,1.0
258,5.0833
259,8.0
260,4.2
261,9.25
262,1.0
263,8.0
264,9.15
265,9.0
266,5.5
267,2.45
268,2.9583
269,9.4
270,1.25
271,1.9333
272,4.35
273,10.0
274,3.0
275,4.4167
276,4.4167
277,9.8334
278,0.25
279,6.0416
280,2.5
281,9.4167
282,6.75
283,4.0
284,3.4
285,2.6667
286,3.3
287,3.0
288,3.6458
289,3.8333
290,8.2084
291,6.6667
292,2.0
293,4.9584
294,9.0
295,7.5
296,4.6833
297,3.875
298,8.0
299,8.55
300,1.25
301,4.5
302,1.975
303,7.9167
304,8.5
305,2.0
306,4.0
307,5.75
308,9.5
309,8.0
310,9.0
311,9.5
312,5.9166
313,3.2917
314,4.75
315,8.0
316,1.0
317,1.2
318,5.5
319,10.0
320,1.0
321,1.4167
322,4.4167
323,7.9167
324,7.0
325,3.3333
326,1.25
327,5.4584
328,7.5
329,8.9167
330,2.75
331,3.75
332,6.0833
333,6.5
334,3.0
335,8.0
336,2.5
337,7.5834
338,4.0
339,6.25
340,4.0167
341,1.0
342,2.75
343,9.2
344,9.0
345,8.0
346,8.6167
347,8.3541
348,0.0
349,9.5
350,2.1
351,3.0
352,5.9166
353,4.25
354,7.5417
355,6.5
356,0.5
357,4.0
358,1.55
359,2.75
360,2.25
361,0.0
362,9.25
363,3.0
364,5.4333
365,10.0
366,1.5
367,4.7917
368,3.0
369,6.0
370,3.4667
371,7.9167
372,7.5
373,6.725
374,9.5
375,7.8333
376,3.5
377,8.3958
378,5.5
379,4.5833
380,5.0417
381,6.6
382,3.5
383,7.0
384,8.0
385,10.0
386,2.5
387,5.25
388,5.5
389,3.5
390,6.0209
391,7.0
392,1.3
393,8.0
394,5.0
395,5.31
396,8.625
397,9.5
398,6.5
399,8.0
400,6.0
401,7.45
402,3.0
403,7.0
404,0.0
405,5.8333
406,7.25
407,8.4167
408,4.7084
409,6.0833
410,8.0
411,9.0
412,8.0
413,5.85
414,4.0
415,5.45
416,4.7833
417,8.15
418,7.0
419,9.0
420,7.25
421,0.0
422,7.0
423,2.0
424,7.3333
425,7.5
426,7.85
427,5.5
428,9.7083
429,0.65
430,2.5
431,4.75
432,6.5833
433,7.5
434,2.5
435,9.0
436,7.0
437,1.0
438,0.0
439,7.5
440,3.5833
441,9.8333
442,5.0
443,7.5
444,1.0
445,8.0
446,3.0
447,6.5
448,4.4167
449,0.0
450,4.5833
451,3.0
452,4.0
453,7.25
454,3.95
455,2.0
456,5.1167
457,7.8333
458,9.0
459,4.0
460,8.2
461,0.0
462,4.0417
463,9.0
464,8.5
465,8.5
466,1.5
467,6.5
468,6.5833
469,2.05
470,2.1667
471,0.0
472,1.25
473,3.3333
474,6.1792
475,7.1667
476,4.5
