Posicion,Puntuacion,Especialidad
1,6.3333,Educación Física
2,0.0,Educación Física
3,3.1167,Educación Física
4,7.0,Educación Física
5,3.25,Educación Física
6,1.0,Educación Física
7,5.5,Educación Física
8,2.5,Educación Física
9,1.5,Educación Física
10,4.0,Educación Física
11,6.0,Educación Física
12,5.5,Educación Física
13,7.775,Educación Física
14,8.9583,Educación Física
15,3.5,Educación Física
16,3.5667,Educación Física
17,3.5,Educación Física
18,4.0,Educación Física
19,7.75,Educación Física
20,7.6667,Educación Física
21,9.7,Educación Física
22,2.8,Educación Física
23,9.0,Educación Física
24,3.0,Educación Física
25,4.5,Educación Física
26,3.0,Educación Física
27,4.8333,Educación Física
28,2.625,Educación Física
29,2.2292,Educación Física
30,4.1667,Educación Física
31,2.2,Educación Física
32,6.7917,Educación Física
33,1.5,Educación Física
34,6.25,Educación Física
35,2.875,Educación Física
36,4.5,Educación Física
37,6.375,Educación Física
38,6.8542,Educación Física
39,4.75,Educación Física
40,0.5,Educación Física
41,8.8333,Educación Física
42,10.0,Educación Física
43,6.0,Educación Física
44,7.0834,Educación Física
45,3.75,Educación Física
46,6.0,Educación Física
47,9.2834,Educación Física
48,1.0,Educación Física
49,1.25,Educación Física
50,9.75,Educación Física
51,6.5,Educación Física
52,5.5,Educación Física
53,3.55,Educación Física
54,9.9084,Educación Física
55,3.5417,Educación Física
56,1.375,Educación Física
57,0.0,Educación Física
58,2.0,Educación Física
59,4.4583,Educación Física
60,0.0,Educación Física
61,6.625,Educación Física
62,3.2,Educación Física
63,1.5,Educación Física
64,9.5,Educación Física
65,3.0,Educación Física
66,8.6667,Educación Física
67,7.875,Educación Física
68,2.8,Educación Física
69,2.0,Educación Física
70,6.5833,Educación Física
71,6.5,Educación Física
72,9.5,Educación Física
73,4.4167,Educación Física
74,5.9375,Educación Física
75,10.0,Educación Física
76,3.5833,Educación Física
77,6.0084,Educación Física
78,10.0,Educación Física
79,5.0833,Educación Física
80,5.025,Educación Física
81,7.3333,Educación Física
82,1.0,Educación Física
83,4.0,Educación Física
84,5.0833,Educación Física
85,7.7917,Educación Física
86,7.05,Educación Física
87,7.75,Educación Física
88,0.0,Educación Física
89,4.8333,Educación Física
90,0.5,Educación Física
91,5.0,Educación Física
92,3.5,Educación Física
93,3.5,Educación Física
94,10.0,Educación Física
95,4.3333,Educación Física
96,3.0,Educación Física
97,4.0,Educación Física
98,8.0833,Educación Física
99,4.0,Educación Física
100,6.5,Educación Física
101,7.1042,Educación Física
102,1.75,Educación Física
103,1.0,Educación Física
104,1.5,Educación Física
105,1.75,Educación Física
106,9.0,Educación Física
107,7.5,Educación Física
108,3.75,Educación Física
109,10.0,Educación Física
110,1.9167,Educación Física
111,3.75,Educación Física
112,9.5,Educación Física
113,0.0,Educación Física
114,3.75,Educación Física
115,1.5,Educación Física
116,5.0,Educación Física
117,5.0,Educación Física
118,10.0,Educación Física
119,4.7,Educación Física
120,4.75,Educación Física
121,0.0,Educación Física
122,8.7916,Educación Física
123,4.1833,Educación Física
124,8.5834,Educación Física
125,5.3333,Educación Física
126,1.0,Educación Física
127,3.25,Educación Física
128,3.3167,Educación Física
129,2.0,Educación Física
130,5.375,Educación Física
131,3.4792,Educación Física
132,6.875,Educación Física
133,7.875,Educación Física
134,2.0,Educación Física
135,5.4583,Educación Física
136,8.2,Educación Física
137,3.8333,Educación Física
138,6.5,Educación Física
139,3.2,Educación Física
140,0.0,Educación Física
141,7.6584,Educación Física
142,2.5,Educación Física
143,4.0,Educación Física
144,6.6875,Educación Física
145,2.0042,Educación Física
146,8.9084,Educación Física
147,2.0,Educación Física
148,0.5,Educación Física
149,7.2917,Educación Física
150,5.9083,Educación Física
151,9.65,Educación Física
152,10.0,Educación Física
153,5.9167,Educación Física
154,0.0,Educación Física
155,0.0,Educación Física
156,4.3333,Educación Física
157,7.25,Educación Física
158,4.3333,Educación Física
159,4.25,Educación Física
160,2.3,Educación Física
161,3.5,Educación Física
162,6.125,Educación Física
163,9.0,Educación Física
164,4.7367,Educación Física
165,8.4167,Educación Física
166,3.7667,Educación Física
167,7.6667,Educación Física
168,0.25,Educación Física
169,1.7,Educación Física
170,4.5,Educación Física
171,1.3,Educación Física
172,8.7916,Educación Física
173,8.2,Educación Física
174,1.0,Educación Física
175,4.8333,Educación Física
176,8.1666,Educación Física
177,6.0,Educación Física
178,7.375,Educación Física
179,4.35,Educación Física
180,8.7,Educación Física
181,2.65,Educación Física
182,10.0,Educación Física
183,0.0,Educación Física
184,2.3333,Educación Física
185,3.5,Educación Física
186,3.4167,Educación Física
187,9.6167,Educación Física
188,6.0,Educación Física
189,6.0,Educación Física
190,3.0,Educación Física
191,1.0,Educación Física
192,1.3,Educación Física
193,5.3333,Educación Física
194,8.95,Educación Física
195,4.25,Educación Física
196,5.5,Educación Física
197,5.175,Educación Física
198,6.5833,Educación Física
