candidato,puntuacion
1,1.5833
2,0.75
3,4.5833
4,4.0
5,0.5
6,6.75
7,1.0
8,4.7
9,6.3333
10,9.5
11,1.75
12,9.2834
13,8.5
14,6.95
15,7.5
16,7.4833
17,4.8833
18,6.3334
19,5.5
20,5.875
21,6.8333
22,5.4792
23,7.5
24,7.9167
25,9.0
26,8.5
27,0.25
28,7.9167
29,4.0834
30,3.5
31,7.2084
32,9.0
33,4.25
34,7.0833
35,7.0
36,9.0
37,4.0208
38,4.2083
39,0.0
40,5.75
41,8.5
42,4.4167
43,9.875
44,3.0
45,7.85
46,7.75
47,5.6
48,1.2
49,10.0
50,6.4583
51,3.5
52,1.5
53,3.5
54,8.5
55,1.5
56,5.8333
57,3.8333
58,6.85
59,2.0
60,0.25
61,4.165
62,7.55
63,8.5
64,6.25
65,1.25
66,5.8
67,7.6667
68,10.0
69,0.0
70,8.5
71,8.0
72,6.0
73,5.5834
74,9.5
75,4.25
76,8.5
77,6.25
78,8.0
79,3.5
80,6.5416
81,6.0
82,0.0
83,7.1367
84,5.6667
85,4.9
86,8.5
87,8.25
88,4.0
89,8.3334
90,1.85
91,8.3
92,0.0
93,9.1666
94,9.5
95,3.1667
96,8.75
97,7.6
98,8.63
99,4.3333
100,7.4583
101,8.0
102,6.875
103,8.5
104,7.1
105,5.1566
106,7.5
107,2.5833
108,4.75
109,8.5
110,0.0
111,6.25
112,2.3833
113,3.45
114,4.7667
115,7.2084
116,1.5833
117,4.7416
118,6.9167
119,6.25
120,9.75
121,3.9167
122,3.0
123,7.6666
124,7.0
125,0.5
126,9.6666
127,0.475
128,4.5833
129,0.0
130,1.0
131,1.0
132,7.55
133,4.625
134,8.5
135,1.5167
136,8.8125
137,3.5
138,6.85
139,5.8333
140,3.4167
141,3.0
142,7.0
143,8.5
144,6.75
145,9.0
146,3.75
147,3.0833
148,4.0
149,6.46
150,10.0
151,6.6667
152,3.0
153,8.0
154,5.5
155,1.5
156,6.0167
157,5.9583
158,7.2
159,7.5
160,4.7292
161,7.1667
162,7.75
163,3.0833
164,4.0417
165,1.55
166,7.1667
167,8.0
168,9.0
169,2.25
170,9.75
171,8.0
172,8.5
173,7.0
174,5.0
175,7.9
176,3.5667
177,9.5
178,0.15
179,8.0
180,7.8333
181,4.0833
182,3.5
183,4.175
184,8.5
185,8.25
186,2.0
187,0.6
188,6.5
189,5.7
190,1.5
191,7.95
192,6.55
193,7.325
194,6.9
195,1.75
196,7.5
197,8.625
198,8.0
199,6.0
200,2.5
201,4.55
202,7.3667
203,1.25
204,7.0
205,9.0
206,8.0
207,7.5
208,5.6667
209,9.5
210,5.875
211,8.625
212,6.5
213,1.0
214,5.0
215,2.65
216,5.8333
217,5.5
218,5.35
219,8.0
220,3.0
221,7.5
222,8.75
223,8.2083
224,9.5
225,8.0
226,5.0
227,0.5
228,2.0
229,9.8333
230,7.4167
231,8.0
232,6.8
233,3.7708
234,5.2
235,2.5
236,6.5
237,7.2084
238,10.0
239,9.0
240,4.4583
241,8.5833
242,3.5
243,2.875
244,5.8333
245,8.0
246,3.875
247,9.625
248,3.5833
249,2.5
250,10.0
251,2.05
252,3.85
253,0.0
254,0.9
255,9.125
256,3.25
257,4.9167
258,2.6
259,7.7
260,0.65
261,3.4167
262,8.95
263,8.0
264,4.6667
265,3.8
266,7.375
267,8.5
268,6.1042
269,1.0
270,1.25
271,7.35
272,3.7667
273,4.75
