candidato,puntuacion
1,4.0
2,3.75
3,2.0
4,6.0833
5,2.25
6,8.0
7,3.0
8,4.0
9,4.6667
10,7.6666
11,6.1667
12,2.1
13,4.5
14,1.15
15,1.0
16,0.7
17,8.5
18,4.5
19,3.0
20,0.0
21,1.3333
22,6.5
23,3.5
24,9.3333
25,3.5
26,3.0
27,4.75
28,6.25
29,7.4167
30,1.75
31,4.9167
32,3.0
33,1.75
34,7.8333
35,7.2
36,8.5
37,2.8333
38,3.5
39,8.0
40,7.4584
41,8.0
42,4.75
43,6.75
44,1.6
45,0.0
46,0.0
47,0.0
48,4.5
49,1.5
50,4.5
51,2.4
52,1.25
53,7.0833
54,3.0
55,0.0
56,8.0
57,4.0
58,3.1667
59,3.35
60,6.0
61,1.25
62,8.0
63,5.0
64,3.0
65,8.5
66,3.0
67,4.5375
68,3.5
69,1.0
70,3.9167
71,8.0867
72,1.75
73,7.4667
74,3.0
75,9.375
76,3.1
77,9.0
78,6.4
79,3.5833
80,8.5
81,3.3
82,4.3
83,5.5
84,8.05
85,4.2417
86,1.3
87,7.4167
88,6.89
89,3.5
90,3.0
91,1.5
92,6.5833
93,1.6833
94,5.8333
95,3.9167
96,5.0
97,2.0
98,5.6667
99,4.7084
100,3.0
101,3.0
102,1.5
103,9.0834
104,7.625
105,3.9584
106,5.5
107,3.9167
108,4.0
109,5.15
110,6.5
111,5.6167
112,4.0
113,4.0
114,2.8833
115,4.4167
116,4.5
117,6.5
118,4.5
119,2.0
120,3.5
121,3.3
122,2.0
123,5.6667
124,1.25
125,0.5958
126,6.4167
127,3.5
128,1.2
129,4.8333
130,7.5833
131,8.0
132,7.55
133,7.0
134,0.25
135,1.5
136,6.2833
137,4.5
138,1.0
139,3.25
140,3.0
141,3.0
142,4.0
143,6.3667
144,3.8333
145,0.0
146,7.4167
147,4.0
148,2.0
149,4.5
150,3.0
151,4.2
152,6.0
153,9.0
154,0.0
155,8.3667
156,2.85
157,3.5
158,7.0
159,3.1667
160,5.9167
161,3.2
162,3.8333
163,4.0
164,5.4167
165,4.0
166,3.4167
167,8.0
168,1.65
169,7.5833
170,0.57
171,7.0333
172,2.25
173,6.35
174,1.0
175,5.9167
176,8.0
177,1.5
178,3.0
179,4.5
180,4.1667
181,1.0
182,7.75
183,9.0
184,4.5
185,2.5
186,1.0
187,3.3333
188,8.4584
189,9.0
190,2.4167
191,6.0
192,2.0
193,4.0
194,7.5833
195,8.5
196,0.85
197,4.65
198,1.2
199,8.0
200,4.0
201,8.2084
202,3.5
203,4.0
204,1.0
205,9.0
206,6.0833
207,7.0
208,2.0
209,4.3333
210,6.0417
211,4.5
212,3.4
213,8.0
214,9.0
215,6.5
216,2.55
217,2.5
218,8.0
219,3.0
220,4.0
221,10.0
222,8.0
223,3.25
224,8.5833
225,5.3333
226,2.0
227,5.5
228,8.5
229,3.1833
230,4.1667
231,3.75
232,3.75
233,4.0
234,4.2333
235,4.5
236,1.25
237,3.0
238,4.05
239,10.0
240,3.5
241,2.74
242,0.5
243,1.1
244,5.45
245,2.5
246,1.5
247,1.85
248,8.0833
249,4.5417
250,8.7084
251,6.0
252,6.25
253,0.0
254,3.0
255,6.4167
256,4.6833
257,4.5
258,3.0
259,6.0
260,7.0833
261,2.0
262,5.2084
263,5.75
264,3.5
265,8.0
266,5.0
267,3.0
268,4.35
269,4.9167
270,5.0
271,8.0
272,4.5
273,0.6
274,4.5
275,2.3
276,4.0
277,3.0
278,4.5
279,3.0
280,3.0
281,0.0
282,8.0
283,10.0
284,4.0
285,0.25
286,2.2
287,4.0833
288,2.0833
289,0.0
290,6.1084
291,3.0
292,8.5
293,3.0
294,3.45
295,7.75
296,2.0
297,4.0
298,3.8333
299,6.0
300,3.0
301,1.25
302,3.0
303,5.5833
304,6.0
305,3.0
306,0.0
307,2.5
308,3.5
309,4.05
310,3.5
311,1.5
312,6.4
313,3.65
314,2.65
315,7.0
316,6.0
317,6.9
318,3.5
319,1.0
320,2.25
321,8.5
322,2.5
323,10.0
324,7.1833
325,0.0
326,0.0
327,3.0
328,2.25
329,7.0
330,9.85
331,3.0
332,1.5
333,2.965
334,0.2
335,6.6667
336,8.2
337,3.5
338,1.5
339,1.25
340,2.0
341,7.3334
342,0.0
343,2.1667
344,8.25
345,5.5
346,6.5
347,10.0
348,3.8333
349,8.3333
350,5.0
351,9.2083
352,8.1367
353,7.5666
354,5.5917
355,5.1667
356,6.0
357,5.5
358,3.8667
359,4.5
360,3.5
361,8.0625
362,2.45
363,3.0
364,2.14
365,4.675
366,0.25
367,9.5
368,6.0
369,3.0
370,3.5
371,3.55
372,4.875
373,5.9167
374,5.9167
375,5.25
376,3.5
377,5.4166
378,2.9167
379,5.8333
380,6.5
381,6.875
382,9.5
383,3.75
384,3.0
385,1.0
386,7.625
387,5.25
388,1.0
389,2.0
390,8.5
391,5.4167
392,7.0416
393,6.0833
394,3.0
395,9.5
396,4.5
397,5.5
398,1.5
399,6.0833
400,3.5
401,4.25
402,3.5
403,5.0
404,3.17
405,3.5833
406,3.8333
407,5.5
408,5.8333
409,8.0
410,3.2083
411,1.05
412,3.0
413,3.5
414,5.0
415,3.75
416,6.5833
417,8.0
418,4.5
419,3.4
420,4.0
421,1.5
422,6.1667
423,9.5
424,5.5
425,4.5
426,0.0
427,4.65
428,9.5
429,5.7
430,8.75
431,9.5
432,4.4375
433,6.5
434,6.2
435,6.5417
436,4.5
437,10.0
438,3.5
439,6.25
440,3.0
441,2.8
442,3.3
443,4.5
444,9.5
445,9.0
446,8.4167
447,3.0
448,2.25
449,3.0
450,2.0
451,3.7417
452,5.19
453,7.05
454,3.5
455,3.0
456,3.5
457,8.5916
458,5.4167
459,3.5
460,5.5
461,0.4
462,4.25
463,4.125
464,3.9875
465,1.4167
466,7.9584
467,3.0
468,8.0
469,9.375
470,0.0
471,4.0
472,5.5
473,6.7417
474,4.75
475,6.4083
476,6.5
477,4.0
478,1.5
479,7.31
480,4.9167
481,4.1667
482,5.5
483,6.2
484,5.0
485,7.5
486,5.21
487,9.2
488,5.5
489,7.0
490,3.45
491,8.0
492,7.0
493,8.0
494,10.0
495,3.0
496,1.8333
497,2.75
498,3.0
499,7.0
500,4.0
501,4.5
502,7.25
503,2.5
504,5.1667
505,2.0
506,4.0
507,6.4167
508,2.75
509,3.0
510,3.0
511,5.2833
512,5.9167
513,0.25
514,3.7
515,5.25
516,2.1
517,1.5
518,3.0
519,0.0
520,7.0
521,1.0
522,9.5
523,4.5
524,5.0
525,3.0
526,0.5
527,5.7291
528,6.5
529,5.6667
530,5.0
531,5.3333
532,7.45
533,1.35
534,5.9167
535,3.0
536,1.0
537,7.95
538,8.0
539,4.55
540,7.8125
541,9.5
542,1.4
543,7.4
544,3.5
545,2.0
546,4.6667
547,8.5
548,4.0
549,4.45
550,6.5
551,4.3333
552,4.0
553,7.5
554,0.0
555,4.0
556,1.0
557,2.5
558,4.0
559,5.3834
560,3.75
561,3.0
562,5.6666
563,7.3667
564,2.5
565,2.9
566,4.0
567,3.0
568,3.0
569,1.25
570,9.375
571,2.1
572,7.0
573,3.0
574,3.0
575,6.0833
576,5.5
577,8.0
578,6.05
579,10.0
580,2.9
581,9.0
582,9.45
583,9.0
584,4.5
585,5.5833
586,4.625
587,8.0
588,6.0
589,4.9333
590,3.0
591,5.0
592,3.6
593,5.625
594,2.0
595,1.0
596,3.0833
597,3.0
598,9.0833
599,7.7083
600,7.4167
601,9.0
602,0.25
603,3.0
604,3.9167
605,3.1667
606,4.0
607,3.0
608,8.8333
609,4.8333
610,8.0
611,4.1967
612,0.3875
613,6.4167
614,4.0
615,4.0
616,2.6
617,4.0
618,7.1333
619,5.0
620,1.5
621,0.5
622,4.0833
623,3.5
624,8.7083
625,5.9167
626,4.2
627,4.0
628,7.5
629,3.3
630,0.0
631,1.0
632,3.0
633,7.25
634,4.5
635,7.35
636,8.2
637,3.5
638,3.05
639,4.4167
640,4.0
641,8.5
642,3.7
643,9.75
644,4.6
645,7.5
646,7.0
647,4.5
648,7.0
649,3.0
650,3.2
651,7.0
652,2.9167
653,4.4167
654,5.25
655,8.0
656,4.5
657,6.5
658,3.4
659,1.5
660,8.5
661,6.1
662,1.25
663,4.7917
664,6.4584
665,6.5
666,9.9167
667,4.75
668,0.45
669,1.0
670,3.6667
671,3.0
672,3.1667
673,5.0
674,5.6167
675,3.0
676,3.0
677,3.5
678,5.125
679,8.4167
680,7.75
681,6.5
682,6.7833
683,7.6833
684,6.9167
685,5.95
686,9.9584
687,4.4
688,3.4167
689,4.0
690,1.0
691,6.2
692,3.5
693,5.6167
694,3.0
695,4.75
696,1.0
697,2.1833
698,3.0
699,1.25
700,4.3333
701,6.375
702,3.0
703,7.0
704,5.7
705,9.0
706,2.5
707,4.8667
708,2.2333
709,4.0833
710,2.5
711,2.5
712,5.0
713,1.0
714,3.5
715,3.9
716,4.0
717,4.625
718,2.55
719,9.5
720,5.5
721,6.4167
722,1.75
723,3.8333
724,3.0
725,3.6
726,4.5
727,6.6667
728,4.0
729,5.95
730,3.5
731,7.6167
732,3.3333
733,5.0
734,9.5
735,1.0
736,1.25
737,4.3667
738,2.0
739,4.0
740,6.0
741,3.65
742,2.4167
743,3.0833
744,3.5
745,2.0
746,4.0
747,3.7
748,6.25
749,2.2333
750,3.1667
751,3.5
752,1.75
753,2.75
754,2.0
755,6.5
756,3.0
757,8.95
758,2.55
759,8.0
760,1.5
761,4.5
762,0.75
763,3.95
764,8.0
765,3.75
766,6.5
767,4.125
768,5.0
769,4.0
770,7.4167
771,5.2917
772,4.5
773,5.5333
774,3.0
775,4.0
776,8.45
777,5.8333
778,2.0
779,3.75
780,7.0833
781,5.0
782,2.3833
783,4.0
784,4.5
785,7.0
786,0.0
787,8.4167
788,4.0
789,5.6083
790,5.5
791,2.65
792,4.0
793,4.625
794,2.8
795,2.75
796,3.0
797,10.0
798,9.0
799,3.45
800,4.0
801,3.0
802,3.0
803,3.0
804,10.0
805,3.0
806,2.5417
807,2.0
808,5.5
809,3.5
810,3.9167
811,6.4
812,5.5417
813,3.9334
814,4.5
815,3.25
816,0.0
817,7.5
818,3.8333
819,0.0
820,1.6
821,5.2083
822,6.5
823,7.0
824,7.45
825,5.8333
826,5.3667
827,3.0
828,5.875
829,4.0
830,2.5
831,2.5
832,7.0
833,3.5
834,4.0
835,5.55
836,5.0
837,3.0
838,3.25
839,5.75
840,3.9167
841,6.5
842,2.0
843,3.0
844,4.6667
845,6.5833
846,4.9167
847,1.1
848,3.5417
849,1.0
850,2.65
851,1.0
852,3.0
853,4.2
854,5.1667
855,10.0
856,2.4167
857,3.0833
858,2.0
859,3.5667
860,6.0
861,3.0
862,2.85
863,2.3333
864,4.5
865,0.0
866,3.9167
867,2.45
868,3.5
869,6.0
870,4.0
871,4.5
872,2.5
873,3.5
874,1.0
875,7.2083
876,3.1667
877,2.25
878,3.15
879,6.4167
880,6.25
881,8.0
882,4.7083
883,9.0
884,8.4167
885,4.5
886,5.3333
887,3.5
888,0.0
889,7.5
890,4.8333
891,9.0
892,3.5
893,3.5
894,7.0
895,4.3917
896,2.75
897,3.2
898,8.3
899,3.4167
900,3.0
901,5.5833
902,3.4167
903,1.0
904,1.0
905,3.95
906,9.0
907,1.25
908,6.25
909,5.25
910,4.5
911,3.6667
912,5.4583
913,3.0
914,3.6
915,8.0
916,9.0
917,8.0
918,6.7084
919,1.25
920,9.5
921,0.52
922,2.15
923,2.0
924,3.5
925,3.4833
926,5.5
927,2.0
928,4.5
929,4.0
930,1.9167
931,3.0
932,1.15
933,7.75
934,1.25
935,2.4
936,4.4
937,3.5
938,1.25
939,4.75
940,3.5
941,8.5
942,4.5
943,4.0
944,3.5417
945,9.5
946,3.5
947,1.5
948,7.5833
949,8.4167
950,3.0
951,3.0
952,5.5
953,4.25
954,5.5
955,2.2
956,2.05
957,5.5
958,1.25
959,5.5
960,4.8333
961,8.0
962,2.0
963,9.0
964,4.5
965,4.5
966,5.5
967,1.0
968,1.0
969,2.0
970,5.9083
971,2.0
972,8.0
973,1.55
974,1.75
975,3.9167
976,0.0
977,5.0
978,8.5
979,3.0
980,0.5
981,3.0
982,9.0
983,5.7
984,5.0
985,6.075
986,6.25
987,3.0
988,3.85
989,2.5
990,4.35
991,0.0
992,6.5833
993,2.0
994,4.5
995,3.45
996,4.9167
997,4.2833
998,2.0792
999,2.0
1000,2.7
1001,6.0
1002,10.0
1003,8.5833
1004,4.375
1005,1.0
1006,8.0
1007,4.0833
1008,2.0
1009,3.0
1010,1.5
1011,5.5
1012,3.75
1013,2.8
1014,10.0
1015,3.5
1016,4.6
1017,6.6667
1018,1.15
1019,6.0
1020,1.75
1021,5.0
1022,10.0
1023,3.9167
1024,4.6583
1025,6.0833
1026,4.8333
1027,3.0
1028,5.7417
1029,8.625
1030,5.8525
1031,1.0
1032,3.0833
1033,4.1667
1034,3.3042
1035,6.0833
