Posicion,Puntuacion_Total
1,2.4167
2,7.3333
3,3.65
4,5.2084
5,2.5
6,4.3333
7,5.75
8,1.8
9,6.85
10,8.0
11,5.0
12,7.5833
13,7.5
14,6.375
15,1.9167
16,2.25
17,10.0
18,1.0
19,1.75
20,7.0042
21,1.0
22,2.8
23,4.3125
24,4.2084
25,6.5
26,4.5
27,4.75
28,0.0
29,6.25
30,2.7667
31,1.85
32,2.5
33,1.7833
34,0.0
35,3.3833
36,5.3958
37,2.25
38,1.0
39,1.0
40,2.05
41,2.5
42,5.4375
43,5.7083
44,8.5
45,4.0
46,3.8666
47,2.35
48,4.5
49,7.25
50,2.0
51,4.9
52,7.8334
53,4.0667
54,7.2
55,7.0
56,6.9375
57,5.0
58,5.2416
59,1.6
60,3.5
61,5.0417
62,3.4167
63,7.0
64,8.5
65,4.8333
66,3.54
67,0.0
68,6.125
69,6.5
70,3.6667
71,3.5
72,5.4583
73,5.5333
74,5.6666
75,1.0
76,6.3583
77,2.0
78,1.3333
79,0.0
80,3.3125
81,6.7667
82,3.4
83,7.125
84,8.5
85,3.5833
86,2.0
87,2.0
88,8.0
89,3.2
90,8.4167
91,3.4167
92,1.625
93,4.25
94,6.0
95,5.5
96,6.7916
97,5.5333
98,3.0
99,6.8167
100,5.1333
101,2.65
102,4.7167
103,6.9167
104,7.25
105,5.2083
106,0.0
107,3.3333
108,1.3333
109,3.4167
110,5.3333
111,4.0
112,7.4167
113,8.0
114,7.5416
115,8.5833
116,2.25
117,2.5833
118,4.25
119,6.0416
120,6.3333
121,3.7917
122,5.8333
123,3.4583
124,1.7333
125,9.0
126,2.5
127,0.6667
128,7.85
129,4.5
130,5.2292
131,4.25
132,7.7916
133,6.15
134,8.0
135,10.0
136,1.85
137,2.25
138,5.7916
139,1.25
140,2.75
141,2.5
142,3.35
143,5.295
144,4.0625
145,5.5
146,7.975
147,1.55
148,3.3583
149,1.5
150,7.5
151,4.5666
152,8.5
153,3.65
154,8.2916
155,4.57
156,3.05
157,4.5
158,3.95
159,3.4167
160,4.6667
161,2.8333
162,5.7833
163,2.5
164,9.0
165,5.5417
166,7.0
167,0.85
168,4.0209
169,8.0416
170,5.7084
171,7.0
172,3.2083
173,2.1333
174,2.0
175,9.2
176,4.6251
177,3.9167
178,2.0
179,6.25
180,2.5916
181,1.85
182,4.7416
183,1.0833
184,0.5
185,1.5
186,8.0
187,2.35
188,1.5
189,4.1416
190,7.0
191,5.5833
192,6.5833
193,3.6333
194,7.0
195,3.55
196,2.0
197,4.1
198,7.1667
199,1.9167
200,2.0
201,0.25
202,6.625
203,5.3333
204,2.9583
205,4.8833
206,5.875
207,6.4583
208,0.0
209,3.7833
210,4.9583
211,10.0
212,3.5
213,0.6042
214,0.25
215,2.5
216,3.5
217,2.65
218,2.2333
219,8.0
220,7.0
221,5.5333
222,7.7
223,1.25
224,1.45
225,1.7
226,7.5834
227,6.875
228,8.7084
229,7.25
230,2.25
231,4.5
232,0.0
233,6.1042
234,7.7084
235,2.4117
236,0.0
237,4.5833
238,3.0
239,2.05
240,4.2917
241,6.25
242,3.1916
243,6.5
244,8.5
245,2.0
246,6.4166
247,5.0
248,7.0
249,4.0
250,3.7083
251,7.5
252,1.5
253,3.1459
254,1.25
255,1.25
256,5.2042
257,5.7083
258,1.0
259,8.0
260,3.0
261,5.45
262,3.0
263,2.0
264,6.5167
265,2.7875
266,1.25
267,0.0
268,0.2
269,5.4583
270,2.5417
271,4.6666
272,2.0
273,8.5
274,3.5
275,1.0
276,5.45
277,1.3333
278,9.0
279,7.4584
280,4.2083
281,0.0
282,2.95
283,4.5
284,3.5
285,2.75
286,6.625
287,1.4167
288,7.75
289,6.3
290,1.0
291,3.5833
292,1.8333
293,3.0
294,0.0
295,5.4167
296,7.5
297,2.0
298,6.9583
299,1.775
300,4.0
301,9.2
302,7.0
303,4.65
304,2.4333
305,3.75
306,2.3
307,6.1
308,3.5
309,3.6333
310,5.825
311,6.2834
312,3.825
313,2.0
314,2.25
315,6.25
316,2.25
317,8.0
318,0.7
319,7.5
320,5.5
321,0.0
322,4.5625
323,1.0
324,0.35
325,3.5
326,7.8667
327,4.225
328,3.9667
329,0.4
330,4.625
331,2.5
332,4.5
333,3.4167
334,3.5
335,4.6
336,8.0
337,4.0
338,3.125
