posicion,puntuacion
1,3.5
2,8.5
3,2.5
4,6.4084
5,5.0
6,3.0
7,0.4792
8,7.875
9,3.0833
10,6.0
11,5.5
12,1.85
13,7.55
14,6.0
15,6.6583
16,5.0833
17,7.5834
18,3.8333
19,8.5
20,1.0
21,5.5
22,6.3333
23,5.65
24,7.5833
25,5.3333
26,6.75
27,8.0
28,1.5
29,10.0
30,4.25
31,6.2083
32,5.5
33,3.5333
34,3.7
35,8.0
36,1.5
37,5.0833
38,4.0
39,4.5
40,3.1667
41,1.5
42,1.5833
43,3.3283
44,4.8333
45,0.25
46,2.0
47,8.0
48,8.2916
49,2.5833
50,7.45
51,8.5
52,3.1667
53,1.0
54,6.0
55,3.0
56,8.0
57,3.65
58,9.7
59,6.4483
60,6.7084
61,4.0833
62,8.2084
63,7.75
64,3.8667
65,4.0
66,4.4167
67,3.625
68,3.3
69,6.65
70,4.0
71,7.0
72,8.0
73,3.875
74,3.5
75,6.6167
76,1.25
77,3.0
78,7.6666
79,7.8
80,3.15
81,5.3125
82,5.0
83,0.5
84,10.0
85,5.75
86,8.0
87,9.5
88,5.4167
89,7.7
90,6.9
91,8.0
92,8.0
93,7.0
94,4.55
95,2.5
96,7.9167
97,0.5
98,2.3
99,1.9167
100,2.0
101,3.65
102,6.0
103,6.1667
104,6.1667
105,2.0
106,9.0
107,8.0
108,5.35
109,4.0
110,8.0
111,3.6167
112,1.9
113,3.3
114,1.1
115,4.5625
116,9.2
117,7.0
118,5.5333
119,2.5833
120,9.0
121,8.0
122,8.0
123,0.0
124,3.5
125,5.1667
126,3.5
127,7.0
128,8.7084
129,7.2
130,5.5
131,5.9167
132,6.3333
133,4.0
134,8.0
135,2.1667
136,2.55
137,7.0
138,8.25
139,2.6167
140,4.5
141,8.875
142,2.0
143,1.75
144,8.0
145,7.0
146,9.0
147,7.0
148,3.5
149,4.5
150,8.0
151,7.5
152,4.5
153,7.5
154,8.6666
155,5.4167
156,4.9167
157,8.0
158,2.0
159,3.85
160,7.0
161,5.05
162,2.75
163,3.5
164,6.35
165,3.7167
166,7.0417
167,8.3333
168,3.0
169,3.95
170,1.2333
171,6.2083
172,6.0
173,3.9584
174,6.125
175,7.15
176,7.2084
177,2.2
178,4.7917
179,8.9667
180,7.1667
181,8.0
182,4.15
183,3.0
184,2.0
185,7.0833
186,6.8542
187,2.05
188,4.5
189,5.625
190,3.0583
191,3.05
192,4.9
193,8.0
194,4.1
195,8.0
196,2.9
197,8.5
198,8.0
