candidato,puntuacion
1,0.0
2,1.7
3,5.0
4,3.0
5,3.2833
6,6.875
7,8.5
8,6.8333
9,7.9084
10,7.0
11,0.0
12,5.8333
13,4.5
14,3.0
15,5.0
16,6.0
17,3.0
18,9.4167
19,1.15
20,3.0833
21,4.75
22,8.0
23,4.35
24,4.25
25,8.0
26,1.7
27,8.0
28,7.8333
29,6.4167
30,6.5
31,8.5
32,9.5
33,2.75
34,9.0
35,8.0125
36,0.5
37,3.0
38,3.0
39,3.25
40,6.5667
41,7.45
42,3.0
43,0.0
44,3.2667
45,4.0833
46,3.0
47,6.125
48,6.6667
49,3.9167
50,3.5
51,8.0
52,6.0
53,3.1667
54,2.0
55,4.5
56,9.25
57,7.4167
58,3.25
59,0.1
60,3.5
61,5.5
62,0.5
63,1.0
64,3.5
65,4.3333
66,3.5
67,0.0
68,5.8333
69,8.0
70,5.6667
71,4.1667
72,0.0
73,2.0
74,9.5
75,3.8667
76,0.55
77,4.0
78,6.75
79,8.4167
80,3.0
81,7.3333
82,4.4167
83,4.5
84,2.0
85,5.8333
86,1.5
87,1.75
88,6.2
89,3.0
90,7.25
91,3.5
92,1.0
93,5.75
94,2.0
95,1.25
96,3.0
97,9.0
98,6.1667
99,6.0
100,4.5
101,8.1584
102,6.4167
103,1.25
104,5.15
105,2.0
106,6.8333
107,2.25
108,4.2583
109,4.5
110,4.625
111,2.0
112,6.1667
113,7.25
114,8.6666
115,5.5
116,4.9
117,9.0
118,9.0
119,7.1167
120,1.0
121,2.9
122,6.3333
123,3.0
124,4.0
125,6.75
126,5.1667
127,6.1666
128,9.0
129,6.5
130,2.0
131,4.5
132,6.75
133,6.25
134,3.5
135,3.625
136,4.5
137,1.65
138,3.0
139,1.5
140,7.25
141,3.5
142,8.0
143,8.2917
144,7.3333
145,3.0
146,3.5
147,3.3333
148,4.5
149,1.5
150,7.75
151,0.0
152,3.5
153,3.0
154,8.9166
155,4.0
156,5.5
157,0.0
158,4.2
159,1.0
160,3.0
161,6.95
162,3.5
163,5.5
164,9.1667
165,5.5
166,9.0
167,3.25
168,3.0
169,6.6667
170,2.2
171,9.0
172,7.0
173,6.5
174,7.5
175,3.0
176,5.0
177,7.4167
178,8.2
179,4.25
180,6.5
181,6.3333
182,10.0
183,3.5
184,9.0
185,4.25
186,5.5
187,2.95
188,2.0
189,8.1666
190,3.5
191,3.0
192,2.625
193,9.0
194,7.4167
195,8.25
196,4.0
197,3.5
198,3.5
199,8.2
200,3.5
201,2.0
202,10.0
203,0.0
204,8.0
205,5.5
206,3.2
207,7.5541
