candidato,puntuacion
1,2.5
2,5.1667
3,1.25
4,8.0
5,3.5
6,1.55
7,3.8
8,0.5
9,6.4167
10,6.0533
11,9.75
12,0.85
13,4.5
14,5.0
15,0.5667
16,9.0
17,0.0
18,0.0
19,8.0
20,5.7
21,3.9584
22,6.25
23,2.75
24,0.875
25,6.5
26,2.0
27,3.1
28,2.0
29,4.8333
30,4.25
31,9.5
32,3.0
33,7.0
34,5.25
35,8.0
36,3.7084
37,5.8333
38,10.0
39,6.5
40,8.5
41,0.0
42,5.2666
43,4.1667
44,2.5
45,5.0
46,1.14
47,4.5
48,1.25
49,6.0
50,6.75
51,5.75
52,3.5
53,6.3333
54,7.625
55,4.4167
56,5.0
57,7.5
58,7.4583
59,5.25
60,8.0
61,5.5416
62,3.4167
63,6.3333
64,6.6917
65,3.0
66,7.0
67,6.3333
68,5.2667
69,1.65
70,7.0
71,4.5
72,6.2833
73,2.1667
74,8.0
75,3.7583
76,3.0
77,1.0
78,9.0
79,7.0
80,3.4167
81,3.65
82,6.7083
83,1.0
84,3.6667
85,8.4584
86,7.4167
87,0.5
88,5.4584
89,8.0
90,1.9167
91,1.25
92,6.1667
93,2.5
94,6.375
95,3.3333
96,5.625
97,6.0833
98,4.5
99,7.0
100,2.8333
101,0.0
102,2.9667
103,2.15
104,1.1
105,8.4167
106,4.25
107,5.05
108,8.0
109,3.5417
110,6.2
111,6.75
112,5.55
113,2.3333
114,1.0
115,0.0
116,0.2
117,2.15
118,8.0
119,3.75
120,5.0
121,1.0
122,9.0
123,2.0
124,5.5
125,5.8333
126,7.0
127,1.8833
128,6.5
129,3.7292
130,4.0
131,4.6667
132,7.5833
133,4.0
134,3.3667
135,8.5
136,1.7
137,0.0
138,8.4333
139,6.25
140,7.0
141,5.25
142,8.375
143,9.875
144,3.8917
145,9.0
146,8.5
147,7.0833
148,4.8
149,4.975
150,6.0833
151,6.1
152,4.1667
153,7.2333
154,1.75
155,0.25
156,5.5
157,3.5
158,5.75
159,3.9583
160,3.0
161,1.5667
162,0.0
163,6.0
164,5.0583
165,6.1667
166,4.4583
167,1.8667
168,6.0833
169,0.25
170,2.0
171,7.75
172,9.0
173,5.75
174,10.0
175,8.0
176,6.1667
177,8.0
178,5.4167
179,1.4
180,0.1
181,7.8334
182,8.6666
183,0.4667
184,0.0
185,6.1
186,6.25
187,0.75
188,3.6667
189,6.25
190,7.525
191,7.0
192,7.5
193,3.5
194,0.3125
195,2.4167
196,7.25
